rank;name;worth;age;country;company;branch
1;Jeff Bezos;113;56;United States;Amazon ;Technology
2;Bill Gates;98;64;United States;Microsoft ;Technology
3;Bernard Arnault & family;76;71;France;LVMH ;Fashion &amp, Retail
4;Warren Buffett;67.5;89;United States;Berkshire Hathaway ;Finance & Investments
5;Larry Ellison;59;75;United States;software ;Technology
6;Amancio Ortega;55.1;84;Spain;Zara ;Fashion & Retail
7;Mark Zuckerberg;54.7;35;United States;Facebook ;Technology
8;Jim Walton;54.6;71;United States;Walmart ;Fashion & Retail
9;Alice Walton;54.4;70;United States;Walmart ;Fashion & Retail
10;Rob Walton;54.1;75;United States;Walmart ;Fashion & Retail
11;Steve Ballmer;52.7;64;United States;Microsoft ;Technology
12;Carlos Slim Helu & family;52.1;80;Mexico;telecom ;Telecom
13;Larry Page;50.9;47;United States;Google ;Technology
14;Sergey Brin;49.1;46;United States;Google ;Technology
15;Francoise Bettencourt Meyers & family;48.9;66;France;L'Oreal ;Fashion &amp, Retail
17;Jack Ma;38.8;55;China;e-commerce ;Technology
18;Charles Koch;38.2;84;United States;Koch Industries ;Diversified
18;Julia Koch & family;38.2;57;United States;Koch Industries ;Diversified
20;Ma Huateng;38.1;48;China;internet media ;Technology
21;Mukesh Ambani;36.8;62;India;petrochemicals, oil & gas ;Energy
22;MacKenzie Scott;36;50;United States;Amazon.com ;Technology
23;Beate Heister & Karl Albrecht Jr.;33.3;Germany;supermarkets ;;Fashion &amp, Retail
24;David Thomson & family;31.6;62;Canada;media ;Media &amp, Entertainment
25;Phil Knight & family;29.5;82;United States;Nike ;Fashion &amp, Retail
26;Lee Shau Kee;28.1;92;Hong Kong;real estate ;Real Estate
27;François Pinault & family;27;83;France;luxury goods ;Fashion &amp, Retail
28;Sheldon Adelson;26.8;86;United States;casinos ;Gambling & Casinos
29;Jacqueline Mars;24.7;80;United States;candy, pet food ;Food & Beverage
29;John Mars;24.7;84;United States;candy, pet food ;Food & Beverage
32;Giovanni Ferrero;24.5;55;Italy;Nutella, chocolates ;Food & Beverage
33;Michael Dell;22.9;55;United States;Dell computers ;Technology
34;Hui Ka Yan;21.8;61;China;real estate ;Real Estate
35;Li Ka-shing;21.7;91;Hong Kong;diversified ;Diversified
36;He Xiangjian;21.6;77;China;home appliances ;Manufacturing
36;Jim Simons;21.6;81;United States;hedge funds ;Finance & Investments
38;Yang Huiyan & family;20.3;38;China;real estate ;Real Estate
39;Joseph Safra;19.9;81;Brazil;banking ;Finance & Investments
40;Dieter Schwarz;19.8;80;Germany;retail ;Fashion & Retail
41;Vladimir Potanin;19.7;59;Russia;metals ;Metals & Mining
41;Tadashi Yanai & family;19.7;71;Japan;fashion retail ;Fashion &amp, Retail
43;Qin Yinglin & family;18.5;54;China;pig breeding ;Food &amp, Beverage
44;Lukas Walton;18.4;33;United States;Walmart ;Fashion & Retail
45;Vladimir Lisin;18.1;63;Russia;steel, transport ;Metals & Mining
47;Takemitsu Takizaki;17.4;74;Japan;sensors ;Manufacturing
48;Leonid Mikhelson;17.1;64;Russia;gas, chemicals ;Energy
48;Alain Wertheimer;17.1;71;France;Chanel ;Fashion & Retail
48;Gerard Wertheimer;17.1;69;France;Chanel ;Fashion & Retail
51;Theo Albrecht, Jr. & family;17;69;Germany;Aldi, Trader Joe's ;Fashion &amp, Retail
51;Len Blavatnik;17;62;United States;diversified ;Diversified
51;William Lei Ding;17;48;China;online games ;Technology
54;Susanne Klatten;16.8;57;Germany;BMW, pharmaceuticals ;Automotive
54;Alexey Mordashov & family;16.8;54;Russia;steel, investments ;Metals &amp, Mining
56;Masayoshi Son;16.6;62;Japan;internet, telecom ;Telecom
57;Colin Zheng Huang;16.5;40;China;e-commerce ;Technology
57;Dietrich Mateschitz;16.5;75;Austria;Red Bull ;Food & Beverage
59;Joseph Lau;16.4;68;Hong Kong;real estate ;Real Estate
59;Laurene Powell Jobs & family;16.4;56;United States;Apple, Disney ;Technology
62;Leonardo Del Vecchio & family;16.1;84;Italy;eyeglasses ;Fashion &amp, Retail
63;Donald Bren;15.5;87;United States;real estate ;Real Estate
64;Stephen Schwarzman;15.4;73;United States;investments ;Finance & Investments
65;Vagit Alekperov;15.2;69;Russia;oil ;Energy
65;Lee Man Tat;15.2;90;Hong Kong;food ;Food & Beverage
65;Wang Wei;15.2;50;China;package delivery ;Service
68;Petr Kellner;14.9;55;Czechia;finance, telecommunications ;Finance & Investments
68;Rupert Murdoch & family;14.9;89;United States;newspapers, TV network ;Media &amp, Entertainment
